poinew_1,poinew_2,poinew_3
1.356667,-6.124585,-0.1094964
1.159734,-5.239877,1.437999
1.33642,-6.073331,-1.666277
1.341033,-6.099366,0.1090077
1.333839,-6.071698,-1.435188
1.340698,-6.108008,0.3277278
1.333866,-6.076885,-1.209347
1.340207,-6.110865,0.5473381
1.331089,-6.074354,-0.9849116
1.339541,-6.118037,0.7689956
1.33508,-6.102757,-0.7670457
1.340562,-6.132945,0.9942976
1.336366,-6.113745,-0.5475124
1.342582,-6.147328,1.223086
1.333235,-6.109642,-0.3277278
1.332187,-6.109962,1.443736
1.334854,-6.12733,-0.1094615
1.14308,-5.251444,1.440069
1.316029,-6.081736,-1.667312
1.317621,-6.094237,0.1088332
1.31099,-6.068697,-1.433388
1.315155,-6.093128,0.326681
1.312646,-6.081503,-1.209347
1.318448,-6.113559,0.5471637
1.314038,-6.098274,-0.9880402
1.318178,-6.122676,0.7689956
1.311264,-6.095736,-0.7655833
1.317486,-6.129862,0.9930462
1.310412,-6.096946,-0.5455949
1.321941,-6.155816,1.223849
1.311062,-6.110353,-0.3275185
1.307583,-6.099331,1.440137
1.311783,-6.124131,-0.1093219
1.122721,-5.245957,1.437481
1.293586,-6.080623,-1.665759
1.296756,-6.100756,0.1088681
1.290204,-6.075143,-1.433838
1.294708,-6.101589,0.3268904
1.287742,-6.068764,-1.205913
1.297099,-6.118124,0.5471637
1.28824,-6.081566,-0.9845986
1.297209,-6.129182,0.7692394
1.2908,-6.10416,-0.7660707
1.292406,-6.117028,0.9902303
1.287474,-6.093686,-0.5448977
1.300444,-6.160393,1.223849
1.289313,-6.112938,-0.3274138
1.284678,-6.096231,1.438337
1.283805,-6.097364,-0.1087634
1.104402,-5.249844,1.437481
1.270771,-6.077538,-1.663689
1.275452,-6.105245,0.1088681
1.269786,-6.083425,-1.434738
1.2734,-6.106071,0.3268904
1.268554,-6.082832,-1.207821
1.272485,-6.107009,0.5457692
1.267809,-6.089893,-0.9852244
1.277018,-6.139503,0.7699706
1.270293,-6.112515,-0.7665582
1.273053,-6.131173,0.9917946
1.264575,-6.09034,-0.5442005
1.276141,-6.151438,1.221178
1.267561,-6.115445,-0.3273091
1.26339,-6.100678,1.438337
1.267375,-6.125307,-0.1091823
1.084115,-5.244208,1.434893
1.246827,-6.068691,-1.660066
1.250916,-6.093989,0.1085889
1.248152,-6.085911,-1.434288
1.252079,-6.110479,0.3268904
1.247707,-6.089146,-1.208203
1.251558,-6.113367,0.5459436
1.24496,-6.086541,-0.9839729
1.254388,-6.138089,0.7692394
1.249742,-6.120802,-0.7670457
1.250854,-6.131709,0.9911689
1.244502,-6.100574,-0.5447234
1.255054,-6.157779,1.221559
1.247004,-6.123747,-0.3275185
1.242087,-6.105051,1.438337
1.247182,-6.135571,-0.109287
1.065033,-5.244174,1.433858
1.227165,-6.080581,-1.662136
1.230822,-6.104199,0.1086936
1.223821,-6.074948,-1.430689
1.230348,-6.112854,0.3267857
1.226445,-6.093464,-1.208203
1.227855,-6.105978,0.5448977
1.221761,-6.081166,-0.9824085
1.227484,-6.115182,0.7658271
1.228369,-6.125128,-0.7670457
1.229443,-6.136037,0.9911689
1.225157,-6.114648,-0.5455949
1.23278,-6.158272,1.220796
1.22327,-6.116312,-0.3268904
1.220005,-6.105527,1.437437
1.223799,-6.130083,-0.1091124
1.047477,-5.251648,1.434893
1.205932,-6.084827,-1.662136
1.209508,-6.108459,0.1086936
1.201852,-6.07536,-1.429789
1.207745,-6.105145,0.3261577
1.205547,-6.099634,-1.208584
1.208077,-6.118046,0.5455949
1.200526,-6.085393,-0.9824085
1.20997,-6.138906,0.7682644
1.200844,-6.098215,-0.7631459
1.209088,-6.140081,0.9911689
1.19996,-6.099338,-0.5438518
1.211655,-6.164464,1.221178
1.202683,-6.124465,-0.3270998
1.196059,-6.096363,1.434288
1.204619,-6.139995,-0.1092172
1.028941,-5.249405,1.43334
1.185054,-6.090896,-1.662654
1.189627,-6.114398,0.1087285
1.18207,-6.081224,-1.430239
1.185665,-6.105403,0.3259484
1.18051,-6.084532,-1.204768
1.187851,-6.128093,0.5461178
1.183723,-6.106795,-0.9852244
1.190738,-6.148731,0.7689956
1.180616,-6.102163,-0.7631459
1.184649,-6.128748,0.9886659
1.180173,-6.111314,-0.544549
1.187111,-6.147244,1.21698
1.182366,-6.128419,-0.3270998
1.175099,-6.096468,1.433388
1.177886,-6.116671,-0.1087285
1.010246,-5.251069,1.432822
1.161948,-6.079612,-1.658513
1.167527,-6.114586,0.1086587
1.161201,-6.087228,-1.430689
1.165412,-6.109301,0.3259484
1.157753,-6.074914,-1.202097
1.164541,-6.116341,0.5447234
1.161292,-6.105068,-0.9842858
1.166303,-6.137248,0.7670457
1.159307,-6.106247,-0.7631459
1.16395,-6.130702,0.9883531
1.156559,-6.097578,-0.5429803
1.169302,-6.17064,1.220796
1.161338,-6.134471,-0.3272044
1.152362,-6.092874,1.431589
1.157595,-6.120544,-0.1087285
0.9910346,-5.244899,1.430234
1.139651,-6.077934,-1.65696
1.145032,-6.106631,0.1084493
1.141367,-6.092961,-1.431139
1.145181,-6.119222,0.3262624
1.140509,-6.100146,-1.206295
1.143185,-6.120368,0.5447234
1.137776,-6.091409,-0.9814699
1.145945,-6.141082,0.7670457
1.139416,-6.11201,-0.7633896
1.144352,-6.144437,0.9899174
1.134903,-6.099618,-0.542806
1.144164,-6.149392,1.215835
